Gender,Region,Year,Number of Newborns,sum
Female,Yilan County,1994,3795,
Female,Yilan County,1995,3760,
Female,Yilan County,1996,3470,
Female,Yilan County,1997,3552,
Female,Yilan County,1998,2926,
Female,Yilan County,1999,2810,
Female,Yilan County,2000,3026,
Female,Yilan County,2001,2634,
Female,Yilan County,2002,2440,
Female,Yilan County,2003,2239,
Female,Yilan County,2004,2132,
Female,Yilan County,2005,1987,
Female,Yilan County,2006,1928,
Female,Yilan County,2007,1815,
Female,Yilan County,2008,1727,
Female,Yilan County,2009,1724,
Female,Yilan County,2010,1685,
Female,Yilan County,2011,1708,
Female,Yilan County,2012,1888,
Female,Yilan County,2013,1646,
Female,Yilan County,2014,1701,
Female,Yilan County,2015,1680,
Female,Yilan County,2016,1673,
Female,Yilan County,2017,1596,
Female,Yilan County,2018,1477,
Female,Yilan County,2019,1512,
Female,Yilan County,2020,1408,
Female,Yilan County,2021,1324,
Male,Yilan County,1994,4030,
Male,Yilan County,1995,4002,
Male,Yilan County,1996,4041,
Male,Yilan County,1997,3919,
Male,Yilan County,1998,3066,
Male,Yilan County,1999,3141,
Male,Yilan County,2000,3362,
Male,Yilan County,2001,2853,
Male,Yilan County,2002,2652,
Male,Yilan County,2003,2462,
Male,Yilan County,2004,2296,
Male,Yilan County,2005,2111,
Male,Yilan County,2006,2024,
Male,Yilan County,2007,1981,
Male,Yilan County,2008,1956,
Male,Yilan County,2009,1913,
Male,Yilan County,2010,1763,
Male,Yilan County,2011,1836,
Male,Yilan County,2012,2042,
Male,Yilan County,2013,1849,
Male,Yilan County,2014,1826,
Male,Yilan County,2015,1757,
Male,Yilan County,2016,1852,
Male,Yilan County,2017,1732,
Male,Yilan County,2018,1578,
Male,Yilan County,2019,1584,
Male,Yilan County,2020,1446,
Male,Yilan County,2021,1496,
Female,Hualien County,1994,2825,
Female,Hualien County,1995,2824,
Female,Hualien County,1996,2758,
Female,Hualien County,1997,2702,
Female,Hualien County,1998,2146,
Female,Hualien County,1999,2237,
Female,Hualien County,2000,2257,
Female,Hualien County,2001,2037,
Female,Hualien County,2002,1871,
Female,Hualien County,2003,1662,
Female,Hualien County,2004,1623,
Female,Hualien County,2005,1515,
Female,Hualien County,2006,1436,
Female,Hualien County,2007,1422,
Female,Hualien County,2008,1349,
Female,Hualien County,2009,1251,
Female,Hualien County,2010,1128,
Female,Hualien County,2011,1182,
Female,Hualien County,2012,1301,
Female,Hualien County,2013,1290,
Female,Hualien County,2014,1271,
Female,Hualien County,2015,1278,
Female,Hualien County,2016,1310,
Female,Hualien County,2017,1128,
Female,Hualien County,2018,1152,
Female,Hualien County,2019,1145,
Female,Hualien County,2020,1016,
Female,Hualien County,2021,1060,
Male,Hualien County,1994,2985,
Male,Hualien County,1995,3003,
Male,Hualien County,1996,3044,
Male,Hualien County,1997,2820,
Male,Hualien County,1998,2478,
Male,Hualien County,1999,2438,
Male,Hualien County,2000,2420,
Male,Hualien County,2001,2151,
Male,Hualien County,2002,2049,
Male,Hualien County,2003,1888,
Male,Hualien County,2004,1792,
Male,Hualien County,2005,1591,
Male,Hualien County,2006,1626,
Male,Hualien County,2007,1545,
Male,Hualien County,2008,1475,
Male,Hualien County,2009,1361,
Male,Hualien County,2010,1213,
Male,Hualien County,2011,1421,
Male,Hualien County,2012,1481,
Male,Hualien County,2013,1367,
Male,Hualien County,2014,1368,
Male,Hualien County,2015,1415,
Male,Hualien County,2016,1372,
Male,Hualien County,2017,1244,
Male,Hualien County,2018,1259,
Male,Hualien County,2019,1285,
Male,Hualien County,2020,1159,
Male,Hualien County,2021,1056,
Female,Kinmen County,1994,300,
Female,Kinmen County,1995,293,
Female,Kinmen County,1996,274,
Female,Kinmen County,1997,323,
Female,Kinmen County,1998,284,
Female,Kinmen County,1999,303,
Female,Kinmen County,2000,387,
Female,Kinmen County,2001,351,
Female,Kinmen County,2002,336,
Female,Kinmen County,2003,335,
Female,Kinmen County,2004,368,
Female,Kinmen County,2005,351,
Female,Kinmen County,2006,393,
Female,Kinmen County,2007,421,
Female,Kinmen County,2008,480,
Female,Kinmen County,2009,529,
Female,Kinmen County,2010,496,
Female,Kinmen County,2011,515,
Female,Kinmen County,2012,713,
Female,Kinmen County,2013,631,
Female,Kinmen County,2014,706,
Female,Kinmen County,2015,650,
Female,Kinmen County,2016,650,
Female,Kinmen County,2017,605,
Female,Kinmen County,2018,605,
Female,Kinmen County,2019,606,
Female,Kinmen County,2020,495,
Female,Kinmen County,2021,487,
Male,Kinmen County,1994,310,
Male,Kinmen County,1995,318,
Male,Kinmen County,1996,325,
Male,Kinmen County,1997,329,
Male,Kinmen County,1998,316,
Male,Kinmen County,1999,336,
Male,Kinmen County,2000,399,
Male,Kinmen County,2001,395,
Male,Kinmen County,2002,402,
Male,Kinmen County,2003,380,
Male,Kinmen County,2004,373,
Male,Kinmen County,2005,388,
Male,Kinmen County,2006,419,
Male,Kinmen County,2007,516,
Male,Kinmen County,2008,490,
Male,Kinmen County,2009,521,
Male,Kinmen County,2010,557,
Male,Kinmen County,2011,639,
Male,Kinmen County,2012,718,
Male,Kinmen County,2013,687,
Male,Kinmen County,2014,789,
Male,Kinmen County,2015,746,
Male,Kinmen County,2016,710,
Male,Kinmen County,2017,676,
Male,Kinmen County,2018,649,
Male,Kinmen County,2019,605,
Male,Kinmen County,2020,540,
Male,Kinmen County,2021,542,
Female,Nantou County,1994,4481,
Female,Nantou County,1995,4356,
Female,Nantou County,1996,4288,
Female,Nantou County,1997,4174,
Female,Nantou County,1998,3461,
Female,Nantou County,1999,3406,
Female,Nantou County,2000,3674,
Female,Nantou County,2001,3259,
Female,Nantou County,2002,3039,
Female,Nantou County,2003,2692,
Female,Nantou County,2004,2571,
Female,Nantou County,2005,2413,
Female,Nantou County,2006,2260,
Female,Nantou County,2007,2218,
Female,Nantou County,2008,2064,
Female,Nantou County,2009,1885,
Female,Nantou County,2010,1648,
Female,Nantou County,2011,1703,
Female,Nantou County,2012,1941,
Female,Nantou County,2013,1689,
Female,Nantou County,2014,1707,
Female,Nantou County,2015,1738,
Female,Nantou County,2016,1728,
Female,Nantou County,2017,1630,
Female,Nantou County,2018,1531,
Female,Nantou County,2019,1551,
Female,Nantou County,2020,1467,
Female,Nantou County,2021,1344,
Male,Nantou County,1994,4810,
Male,Nantou County,1995,4668,
Male,Nantou County,1996,4596,
Male,Nantou County,1997,4536,
Male,Nantou County,1998,3818,
Male,Nantou County,1999,3746,
Male,Nantou County,2000,3924,
Male,Nantou County,2001,3491,
Male,Nantou County,2002,3260,
Male,Nantou County,2003,2924,
Male,Nantou County,2004,2785,
Male,Nantou County,2005,2602,
Male,Nantou County,2006,2484,
Male,Nantou County,2007,2370,
Male,Nantou County,2008,2215,
Male,Nantou County,2009,2029,
Male,Nantou County,2010,1772,
Male,Nantou County,2011,1774,
Male,Nantou County,2012,2115,
Male,Nantou County,2013,1792,
Male,Nantou County,2014,1852,
Male,Nantou County,2015,1838,
Male,Nantou County,2016,1902,
Male,Nantou County,2017,1706,
Male,Nantou County,2018,1701,
Male,Nantou County,2019,1623,
Male,Nantou County,2020,1675,
Male,Nantou County,2021,1495,
Female,Pingtung County,1994,6989,
Female,Pingtung County,1995,7013,
Female,Pingtung County,1996,6885,
Female,Pingtung County,1997,6627,
Female,Pingtung County,1998,5593,
Female,Pingtung County,1999,5470,
Female,Pingtung County,2000,5908,
Female,Pingtung County,2001,5147,
Female,Pingtung County,2002,4844,
Female,Pingtung County,2003,4486,
Female,Pingtung County,2004,3944,
Female,Pingtung County,2005,3858,
Female,Pingtung County,2006,3629,
Female,Pingtung County,2007,3441,
Female,Pingtung County,2008,3274,
Female,Pingtung County,2009,3064,
Female,Pingtung County,2010,2432,
Female,Pingtung County,2011,2601,
Female,Pingtung County,2012,2942,
Female,Pingtung County,2013,2422,
Female,Pingtung County,2014,2579,
Female,Pingtung County,2015,2513,
Female,Pingtung County,2016,2453,
Female,Pingtung County,2017,2284,
Female,Pingtung County,2018,2243,
Female,Pingtung County,2019,2333,
Female,Pingtung County,2020,2092,
Female,Pingtung County,2021,2009,
Male,Pingtung County,1994,7589,
Male,Pingtung County,1995,7594,
Male,Pingtung County,1996,7643,
Male,Pingtung County,1997,7453,
Male,Pingtung County,1998,5965,
Male,Pingtung County,1999,6047,
Male,Pingtung County,2000,6510,
Male,Pingtung County,2001,5413,
Male,Pingtung County,2002,5244,
Male,Pingtung County,2003,4718,
Male,Pingtung County,2004,4439,
Male,Pingtung County,2005,4145,
Male,Pingtung County,2006,4039,
Male,Pingtung County,2007,3815,
Male,Pingtung County,2008,3634,
Male,Pingtung County,2009,3273,
Male,Pingtung County,2010,2829,
Male,Pingtung County,2011,2753,
Male,Pingtung County,2012,3343,
Male,Pingtung County,2013,2627,
Male,Pingtung County,2014,2794,
Male,Pingtung County,2015,2753,
Male,Pingtung County,2016,2676,
Male,Pingtung County,2017,2540,
Male,Pingtung County,2018,2356,
Male,Pingtung County,2019,2431,
Male,Pingtung County,2020,2349,
Male,Pingtung County,2021,2149,
Female,Miaoli County,1994,4427,
Female,Miaoli County,1995,4496,
Female,Miaoli County,1996,4486,
Female,Miaoli County,1997,4230,
Female,Miaoli County,1998,3381,
Female,Miaoli County,1999,3668,
Female,Miaoli County,2000,3902,
Female,Miaoli County,2001,3406,
Female,Miaoli County,2002,3225,
Female,Miaoli County,2003,2863,
Female,Miaoli County,2004,2735,
Female,Miaoli County,2005,2531,
Female,Miaoli County,2006,2556,
Female,Miaoli County,2007,2486,
Female,Miaoli County,2008,2374,
Female,Miaoli County,2009,2218,
Female,Miaoli County,2010,2029,
Female,Miaoli County,2011,2460,
Female,Miaoli County,2012,3001,
Female,Miaoli County,2013,2659,
Female,Miaoli County,2014,2960,
Female,Miaoli County,2015,2754,
Female,Miaoli County,2016,2301,
Female,Miaoli County,2017,1858,
Female,Miaoli County,2018,1663,
Female,Miaoli County,2019,1450,
Female,Miaoli County,2020,1342,
Female,Miaoli County,2021,1289,
Male,Miaoli County,1994,5028,
Male,Miaoli County,1995,4819,
Male,Miaoli County,1996,4728,
Male,Miaoli County,1997,4686,
Male,Miaoli County,1998,3797,
Male,Miaoli County,1999,4015,
Male,Miaoli County,2000,4224,
Male,Miaoli County,2001,3733,
Male,Miaoli County,2002,3748,
Male,Miaoli County,2003,3367,
Male,Miaoli County,2004,3228,
Male,Miaoli County,2005,2874,
Male,Miaoli County,2006,2733,
Male,Miaoli County,2007,2772,
Male,Miaoli County,2008,2602,
Male,Miaoli County,2009,2421,
Male,Miaoli County,2010,2169,
Male,Miaoli County,2011,2624,
Male,Miaoli County,2012,3206,
Male,Miaoli County,2013,2834,
Male,Miaoli County,2014,3059,
Male,Miaoli County,2015,3002,
Male,Miaoli County,2016,2455,
Male,Miaoli County,2017,1986,
Male,Miaoli County,2018,1683,
Male,Miaoli County,2019,1627,
Male,Miaoli County,2020,1453,
Male,Miaoli County,2021,1363,
Female,Taoyuan City,2015,10792,
Female,Taoyuan City,2016,11411,
Female,Taoyuan City,2017,11237,
Female,Taoyuan City,2018,10850,
Female,Taoyuan City,2019,10931,
Female,Taoyuan City,2020,10352,
Female,Taoyuan City,2021,9752,
Male,Taoyuan City,2015,11592,
Male,Taoyuan City,2016,12375,
Male,Taoyuan City,2017,12119,
Male,Taoyuan City,2018,11733,
Male,Taoyuan City,2019,11910,
Male,Taoyuan City,2020,11092,
Male,Taoyuan City,2021,10458,
Female,Taoyuan City,1994,11690,
Female,Taoyuan City,1995,12552,
Female,Taoyuan City,1996,12455,
Female,Taoyuan City,1997,12936,
Female,Taoyuan City,1998,10903,
Female,Taoyuan City,1999,11732,
Female,Taoyuan City,2000,12655,
Female,Taoyuan City,2001,11017,
Female,Taoyuan City,2002,10589,
Female,Taoyuan City,2003,9779,
Female,Taoyuan City,2004,9540,
Female,Taoyuan City,2005,9258,
Female,Taoyuan City,2006,9076,
Female,Taoyuan City,2007,9228,
Female,Taoyuan City,2008,9212,
Female,Taoyuan City,2009,8903,
Female,Taoyuan City,2010,7536,
Female,Taoyuan City,2011,8769,
Female,Taoyuan City,2012,9651,
Female,Taoyuan City,2013,8007,
Female,Taoyuan City,2014,8252,
Male,Taoyuan City,1994,13067,
Male,Taoyuan City,1995,13369,
Male,Taoyuan City,1996,13778,
Male,Taoyuan City,1997,13960,
Male,Taoyuan City,1998,11962,
Male,Taoyuan City,1999,12645,
Male,Taoyuan City,2000,14099,
Male,Taoyuan City,2001,12136,
Male,Taoyuan City,2002,11582,
Male,Taoyuan City,2003,10835,
Male,Taoyuan City,2004,10285,
Male,Taoyuan City,2005,10080,
Male,Taoyuan City,2006,10129,
Male,Taoyuan City,2007,10207,
Male,Taoyuan City,2008,9968,
Male,Taoyuan City,2009,9612,
Male,Taoyuan City,2010,8302,
Male,Taoyuan City,2011,9272,
Male,Taoyuan City,2012,10215,
Male,Taoyuan City,2013,8750,
Male,Taoyuan City,2014,9108,
Female,Kaohsiung City,1994,17606,
Female,Kaohsiung City,1995,18171,
Female,Kaohsiung City,1996,18206,
Female,Kaohsiung City,1997,17966,
Female,Kaohsiung City,1998,14938,
Female,Kaohsiung City,1999,15542,
Female,Kaohsiung City,2000,16856,
Female,Kaohsiung City,2001,13899,
Female,Kaohsiung City,2002,13205,
Female,Kaohsiung City,2003,12265,
Female,Kaohsiung City,2004,11418,
Female,Kaohsiung City,2005,11197,
Female,Kaohsiung City,2006,10969,
Female,Kaohsiung City,2007,10842,
Female,Kaohsiung City,2008,10662,
Female,Kaohsiung City,2009,10139,
Female,Kaohsiung City,2010,9007,
Female,Kaohsiung City,2011,10254,
Female,Kaohsiung City,2012,12049,
Female,Kaohsiung City,2013,10561,
Female,Kaohsiung City,2014,10756,
Female,Kaohsiung City,2015,10754,
Female,Kaohsiung City,2016,10528,
Female,Kaohsiung City,2017,9731,
Female,Kaohsiung City,2018,9636,
Female,Kaohsiung City,2019,9407,
Female,Kaohsiung City,2020,9140,
Female,Kaohsiung City,2021,8719,
Male,Kaohsiung City,1994,19301,
Male,Kaohsiung City,1995,19761,
Male,Kaohsiung City,1996,19486,
Male,Kaohsiung City,1997,19317,
Male,Kaohsiung City,1998,15938,
Male,Kaohsiung City,1999,16686,
Male,Kaohsiung City,2000,18571,
Male,Kaohsiung City,2001,15169,
Male,Kaohsiung City,2002,14450,
Male,Kaohsiung City,2003,13213,
Male,Kaohsiung City,2004,12640,
Male,Kaohsiung City,2005,12180,
Male,Kaohsiung City,2006,11899,
Male,Kaohsiung City,2007,12121,
Male,Kaohsiung City,2008,11520,
Male,Kaohsiung City,2009,10938,
Male,Kaohsiung City,2010,9677,
Male,Kaohsiung City,2011,11157,
Male,Kaohsiung City,2012,12914,
Male,Kaohsiung City,2013,11065,
Male,Kaohsiung City,2014,11764,
Male,Kaohsiung City,2015,11715,
Male,Kaohsiung City,2016,11229,
Male,Kaohsiung City,2017,10529,
Male,Kaohsiung City,2018,10471,
Male,Kaohsiung City,2019,10040,
Male,Kaohsiung City,2020,9789,
Male,Kaohsiung City,2021,9333,
Female,Keelung City,1994,2652,
Female,Keelung City,1995,2696,
Female,Keelung City,1996,2578,
Female,Keelung City,1997,2529,
Female,Keelung City,1998,2170,
Female,Keelung City,1999,2193,
Female,Keelung City,2000,2422,
Female,Keelung City,2001,1896,
Female,Keelung City,2002,1828,
Female,Keelung City,2003,1553,
Female,Keelung City,2004,1520,
Female,Keelung City,2005,1423,
Female,Keelung City,2006,1475,
Female,Keelung City,2007,1408,
Female,Keelung City,2008,1277,
Female,Keelung City,2009,1270,
Female,Keelung City,2010,1068,
Female,Keelung City,2011,974,
Female,Keelung City,2012,1161,
Female,Keelung City,2013,1042,
Female,Keelung City,2014,1011,
Female,Keelung City,2015,1112,
Female,Keelung City,2016,1286,
Female,Keelung City,2017,1103,
Female,Keelung City,2018,1042,
Female,Keelung City,2019,984,
Female,Keelung City,2020,984,
Female,Keelung City,2021,864,
Male,Keelung City,1994,2825,
Male,Keelung City,1995,2924,
Male,Keelung City,1996,2956,
Male,Keelung City,1997,2736,
Male,Keelung City,1998,2298,
Male,Keelung City,1999,2429,
Male,Keelung City,2000,2629,
Male,Keelung City,2001,2116,
Male,Keelung City,2002,1962,
Male,Keelung City,2003,1791,
Male,Keelung City,2004,1664,
Male,Keelung City,2005,1592,
Male,Keelung City,2006,1529,
Male,Keelung City,2007,1535,
Male,Keelung City,2008,1477,
Male,Keelung City,2009,1314,
Male,Keelung City,2010,1123,
Male,Keelung City,2011,1001,
Male,Keelung City,2012,1238,
Male,Keelung City,2013,1123,
Male,Keelung City,2014,1051,
Male,Keelung City,2015,1327,
Male,Keelung City,2016,1262,
Male,Keelung City,2017,1145,
Male,Keelung City,2018,1138,
Male,Keelung City,2019,1100,
Male,Keelung City,2020,1023,
Male,Keelung City,2021,956,
Female,Lianjiang County,1994,31,
Female,Lianjiang County,1995,38,
Female,Lianjiang County,1996,31,
Female,Lianjiang County,1997,44,
Female,Lianjiang County,1998,35,
Female,Lianjiang County,1999,40,
Female,Lianjiang County,2000,42,
Female,Lianjiang County,2001,49,
Female,Lianjiang County,2002,48,
Female,Lianjiang County,2003,48,
Female,Lianjiang County,2004,35,
Female,Lianjiang County,2005,44,
Female,Lianjiang County,2006,44,
Female,Lianjiang County,2007,52,
Female,Lianjiang County,2008,46,
Female,Lianjiang County,2009,47,
Female,Lianjiang County,2010,43,
Female,Lianjiang County,2011,61,
Female,Lianjiang County,2012,77,
Female,Lianjiang County,2013,76,
Female,Lianjiang County,2014,93,
Female,Lianjiang County,2015,83,
Female,Lianjiang County,2016,72,
Female,Lianjiang County,2017,60,
Female,Lianjiang County,2018,60,
Female,Lianjiang County,2019,66,
Female,Lianjiang County,2020,53,
Female,Lianjiang County,2021,51,
Male,Lianjiang County,1994,34,
Male,Lianjiang County,1995,28,
Male,Lianjiang County,1996,41,
Male,Lianjiang County,1997,43,
Male,Lianjiang County,1998,36,
Male,Lianjiang County,1999,46,
Male,Lianjiang County,2000,55,
Male,Lianjiang County,2001,52,
Male,Lianjiang County,2002,56,
Male,Lianjiang County,2003,55,
Male,Lianjiang County,2004,47,
Male,Lianjiang County,2005,63,
Male,Lianjiang County,2006,50,
Male,Lianjiang County,2007,63,
Male,Lianjiang County,2008,58,
Male,Lianjiang County,2009,60,
Male,Lianjiang County,2010,56,
Male,Lianjiang County,2011,71,
Male,Lianjiang County,2012,77,
Male,Lianjiang County,2013,77,
Male,Lianjiang County,2014,80,
Male,Lianjiang County,2015,82,
Male,Lianjiang County,2016,92,
Male,Lianjiang County,2017,79,
Male,Lianjiang County,2018,73,
Male,Lianjiang County,2019,80,
Male,Lianjiang County,2020,64,
